politician,date,answer,pct_estimate,lo,hi
Joe Biden,2023-04-12,Approve,42.00292829219358,37.57225433994146,46.4336022444457
Joe Biden,2023-04-12,Disapprove,52.80418123298343,48.3398039687098,57.26855849725706
Joe Biden,2023-04-11,Approve,42.30979322753908,37.87911927528696,46.7404671797912
Joe Biden,2023-04-11,Disapprove,52.62422893755664,48.15985167328301,57.08860620183026
Joe Biden,2023-04-10,Approve,42.63677132167503,38.20890424528531,47.064638398064744
Joe Biden,2023-04-10,Disapprove,52.57816881569204,48.11363817892958,57.0426994524545
Joe Biden,2023-04-09,Approve,41.74266633516669,37.32279737512149,46.16253529521189
Joe Biden,2023-04-09,Disapprove,53.69078613797754,49.23448006413819,58.14709221181689
Joe Biden,2023-04-08,Approve,41.73434110982425,37.31447214977905,46.15421006986945
Joe Biden,2023-04-08,Disapprove,53.71793523088116,49.26162915704181,58.17424130472051
